SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-2-2023,Condo/Co-op,56 Freeland,Irvine,CA,92602,1150000,3,3,IRSP - Irvine Spectrum,1854,,2001,,620,395,Sold,,,https://www.redfin.com/CA/Irvine/56-Freeland-92602/home/5889009,CRMLS,EV23103520,N,Y,33.7316447,-117.7791389
PAST SALE,June-15-2023,Condo/Co-op,204 TERRAPIN,Irvine,CA,92618,1190000,3,2.5,GP - Great Park,1906,2000,2017,,624,477,Sold,,,https://www.redfin.com/CA/Irvine/204-Terrapin-92618/home/167401520,CRMLS,OC23060054,N,Y,33.6810267,-117.738258
PAST SALE,June-7-2023,Single Family Residential,9 Carmichael,Irvine,CA,92602,1780000,4,3,NK - Northpark,2281,3488,2001,,780,260,Sold,,,https://www.redfin.com/CA/Irvine/9-Carmichael-92602/home/17474461,CRMLS,PW23085088,N,Y,33.7380176,-117.7659165
PAST SALE,August-9-2023,Single Family Residential,113 Bright Poppy,Irvine,CA,92618,1580000,4,3,PS - Portola Springs,2010,2010,2016,,786,224,Sold,,,https://www.redfin.com/CA/Irvine/113-Bright-Poppy-92618/home/143914974,CRMLS,PW23133260,N,Y,33.7016019,-117.7276181
PAST SALE,July-28-2023,Condo/Co-op,3131 Michelson Dr #303,Irvine,CA,92612,820000,2,2,AA - Airport Area,1249,,2006,,657,1176,Sold,,,https://www.redfin.com/CA/Irvine/3131-Michelson-Dr-92612/unit-303/home/7211422,CRMLS,PW23095200,N,Y,33.673685,-117.8437351
PAST SALE,June-20-2023,Single Family Residential,56 Turn Leaf,Irvine,CA,92603,1720000,3,2.5,TRG - Turtle Ridge,1701,2700,2003,,1011,202,Sold,,,https://www.redfin.com/CA/Irvine/56-Turn-Leaf-92603/home/5943101,CRMLS,OC23099249,N,Y,33.6239802,-117.8229847
PAST SALE,July-25-2023,Condo/Co-op,71 Stepping Stone,Irvine,CA,92603,1230000,3,3,QH - Quail Hill,1683,2000,2004,,731,440,Sold,,,https://www.redfin.com/CA/Irvine/71-Stepping-Stone-92603/home/5947858,CRMLS,OC23106873,N,Y,33.6529419,-117.7809708
PAST SALE,June-2-2023,Condo/Co-op,181 Overbrook,Irvine,CA,92620,1280000,3,2.5,STG - Stonegate,1777,2500,2014,,720,328,Sold,,,https://www.redfin.com/CA/Irvine/181-Overbrook-92620/home/58556131,CRMLS,OC23077181,N,Y,33.7062594,-117.7457738
PAST SALE,May-25-2023,Condo/Co-op,232 Terra Cotta,Irvine,CA,92603,1681000,4,3,QH - Quail Hill,2387,1000,2002,,704,469,Sold,,,https://www.redfin.com/CA/Irvine/232-Terra-Cotta-92603/home/5918016,CRMLS,OC23070805,N,Y,33.6500226,-117.7819402
PAST SALE,June-2-2023,Condo/Co-op,84 Tallowood,Irvine,CA,92620,1080000,3,3.5,CV - Cypress Village,1541,,2015,,701,365,Sold,,,https://www.redfin.com/CA/Irvine/84-Tallowood-92620/home/112722617,CRMLS,PW23052491,N,Y,33.6818958,-117.7562784
PAST SALE,,Condo/Co-op,59 Lakefront #35,Irvine,CA,92604,2330000,3,2.5,,2233,,1985,,1043,,,,,https://www.redfin.com/CA/Irvine/59-Lakefront-92604/unit-35/home/5460175,,,N,Y,33.6793889,-117.7961801
PAST SALE,May-19-2023,Condo/Co-op,203 Oceano,Irvine,CA,92602,1910000,3,2.5,OH - Orchard Hills,2137,3000,2022,,894,299,Sold,,,https://www.redfin.com/CA/Irvine/203-Oceano-92602/home/182270338,CRMLS,OC23055969,N,Y,33.7322662,-117.7441529
PAST SALE,May-18-2023,Single Family Residential,107 Whisper Rock,Irvine,CA,92602,3120000,4,4.5,OH - Orchard Hills,3315,8056,2023,,941,289,Sold,,,https://www.redfin.com/CA/Irvine/107-Whisper-Rock-92602/home/173430770,CRMLS,OC23032629,N,Y,33.7484891,-117.756739
PAST SALE,May-19-2023,Condo/Co-op,33 Pink Sage #7,Irvine,CA,92620,1350000,3,3,WD - Woodbury,1512,,2011,,893,370,Sold,,,https://www.redfin.com/CA/Irvine/33-Pink-Sage-92620/unit-7/home/45376608,CRMLS,OC23072780,N,Y,33.6957661,-117.7464865
PAST SALE,June-26-2023,Condo/Co-op,149 Sash,Irvine,CA,92618,944990,3,2.5,GP - Great Park,2172,,2023,,435,715,Sold,,,https://www.redfin.com/CA/Irvine/149-Sash-92618/home/184795461,CRMLS,OC23047850,N,Y,33.6699166,-117.7083069
PAST SALE,July-17-2023,Condo/Co-op,98 Renewal,Irvine,CA,92618,890000,2,2.5,PS - Portola Springs,1798,,2016,,495,423,Sold,,,https://www.redfin.com/CA/Irvine/98-Renewal-92618/home/167402896,CRMLS,OC23086145,N,Y,33.699299,-117.731482
PAST SALE,July-10-2023,Condo/Co-op,178 Streamwood,Irvine,CA,92620,510000,1,1,NW - Northwood,633,700,1977,,806,303,Sold,,,https://www.redfin.com/CA/Irvine/178-Streamwood-92620/home/5492835,CRMLS,OC23103409,N,Y,33.7135225,-117.7590612
PAST SALE,June-26-2023,Single Family Residential,5 Knowles,Irvine,CA,92603,4950000,5,4.5,TR - Turtle Rock,5061,15000,1992,,978,680,Sold,,,https://www.redfin.com/CA/Irvine/5-Knowles-92603/home/4745749,CRMLS,OC23092948,N,Y,33.6461842,-117.8067349
PAST SALE,June-1-2023,Single Family Residential,102 Heather Mist,Irvine,CA,92618,6583888,4,4.5,LGA - Laguna Altura,4930,9756,2017,,1335,475,Sold,,,https://www.redfin.com/CA/Irvine/102-Heather-Mist-92618/home/112725574,CRMLS,OC23081138,N,Y,33.6301707,-117.7538758
PAST SALE,May-25-2023,Single Family Residential,3882 Faulkner Ct,Irvine,CA,92606,1350000,4,2,WN - Walnut (Irvine),1403,7000,1971,,962,62,Sold,,,https://www.redfin.com/CA/Irvine/3882-Faulkner-Ct-92606/home/4667613,CRMLS,OC23066311,N,Y,33.7062344,-117.788883
PAST SALE,June-23-2023,Single Family Residential,3941 Acacia St,Irvine,CA,92606,1500000,4,2.5,WN - Walnut (Irvine),2301,5000,1974,,652,55,Sold,,,https://www.redfin.com/CA/Irvine/3941-Acacia-St-92606/home/4675222,CRMLS,PW23052652,N,Y,33.7025805,-117.7911711
PAST SALE,July-27-2023,Townhouse,50 Alcoba,Irvine,CA,92614,1127000,3,2.5,Irvine,1604,,1989,,703,340,Sold,,,https://www.redfin.com/CA/Irvine/50-Alcoba-92614/home/5552976,SDMLS,230013098,N,Y,33.6763469,-117.8291737
PAST SALE,May-24-2023,Condo/Co-op,59 Lakefront,Irvine,CA,92604,2330000,3,2.5,WB - Woodbridge,2287,,1985,,1019,655,Sold,,,https://www.redfin.com/CA/Irvine/59-Lakefront-92604/home/141255317,CRMLS,OC23068942,N,Y,33.6793889,-117.7961801
PAST SALE,June-16-2023,Single Family Residential,31 Del Perlatto,Irvine,CA,92614,1210000,2,2,WP - Westpark,1368,4000,1987,,885,47,Sold,,,https://www.redfin.com/CA/Irvine/31-Del-Perlatto-92614/home/4659135,CRMLS,OC23075020,N,Y,33.6793765,-117.8188015
